aluguel,condominio,endereco,id,imobiliaria,iptu,link,metragem,num_quartos,num_vagas_garagem,pagina,titulo_anuncio
   R$ 1.900, R$ 521 ,"Itacorubi, Florianópolis - SC",2489699135,, R$ 76 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-86m2-aluguel-RS1900-id-2489699135/?__vt=lgpd:b,86,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 86 m² por R$ 1.900/Mês  "
   R$ 2.670, R$ 419 ,"Rodovia João Paulo - Joao Paulo, Florianópolis - SC",2493246613,, R$ 65 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-83m2-aluguel-RS2670-id-2493246613/?__vt=lgpd:b,83,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 83 m² por R$ 2.670/Mês  "
   R$ 300.000, R$ 271 ,"Rua Cônego Bernardo, 36 - Trindade, Florianópolis - SC",2485702308,, R$ 130 ,https://www.vivareal.com.br/imovel/sala-comercial-trindade-bairros-florianopolis-35m2-aluguel-RS300000-id-2485702308/?__vt=lgpd:b,35,,,Vivareal,"  Sala Comercial para Alugar, 35 m² por R$ 300.000/Mês  "
   R$ 2.550, R$ 775 ,"Rua das Moreias, 599 - Jurerê, Florianópolis - SC",2487386346,, R$ 141 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-94m2-aluguel-RS2550-id-2487386346/?__vt=lgpd:b,94,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 94 m² por R$ 2.550/Mês  "
   R$ 800,,"Avenida Governador Jorge Lacerda - Costeira do Pirajubaé, Florianópolis - SC",2493249783,, R$ 55 ,https://www.vivareal.com.br/imovel/kitnet-1-quartos-costeira-do-pirajubae-bairros-florianopolis-com-garagem-35m2-aluguel-RS800-id-2493249783/?__vt=lgpd:b,35,1,1,Vivareal,"  Kitnet com 1 Quarto para Alugar, 35 m² por R$ 800/Mês  "
   R$ 550, Não informado ,"Rua Madre Maria Vilac, 584 - Canasvieiras, Florianópolis - SC",2496418773,,,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-80m2-aluguel-RS550-id-2496418773/?__vt=lgpd:b,80,2,2,Vivareal,"  Casa de Condomínio com 2 Quartos para Alugar, 80 m² por R$ 550/Dia  "
   R$ 990, R$ 385 ,"Avenida Marinheiro Max Schramm - Estreito, Florianópolis - SC",2493249707,, R$ 46 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-com-garagem-48m2-aluguel-RS990-id-2493249707/?__vt=lgpd:b,48,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 48 m² por R$ 990/Mês  "
   R$ 1.290, Não informado ,"Rua Francisco Anastácio Pires - Trindade, Florianópolis - SC",2495068986,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-trindade-bairros-florianopolis-35m2-aluguel-RS1290-id-2495068986/?__vt=lgpd:b,35,2,,Vivareal,"  Apartamento com 2 Quartos para Alugar, 35 m² por R$ 1.290/Mês  "
   R$ 2.599, Não informado ,"Avenida dos Búzios, 1136 - Jurerê Internacional, Florianópolis - SC",2479056290,,,https://www.vivareal.com.br/imovel/casa-5-quartos-jurere-internacional-bairros-florianopolis-com-garagem-300m2-aluguel-RS2599-id-2479056290/?__vt=lgpd:b,300,5,3,Vivareal,"  Casa com 5 Quartos para Alugar, 300 m² por R$ 2.599/Dia  "
   R$ 1.250, R$ 320 ,"Rua Jornalista Tito Carvalho, 155 - Trindade, Florianópolis - SC",2492603519,, R$ 63 ,https://www.vivareal.com.br/imovel/apartamento-1-quartos-trindade-bairros-florianopolis-com-garagem-54m2-aluguel-RS1250-id-2492603519/?__vt=lgpd:b,54,1,1,Vivareal,"  Apartamento com 1 Quarto para Alugar, 54 m² por R$ 1.250/Mês  "
   R$ 2.299, Não informado ,"Rodovia Francisco Magno Vieira, 2826 - Rio Tavares, Florianópolis - SC",2481318992,,,https://www.vivareal.com.br/imovel/ponto-comercial-rio-tavares-bairros-florianopolis-85m2-aluguel-RS2299-id-2481318992/?__vt=lgpd:b,85,,,Vivareal,"  Ponto Comercial para Alugar, 85 m² por R$ 2.299/Mês  "
   R$ 1.500, R$ 437 ,"Rua Deputado Antônio Edu Vieira - Pantanal, Florianópolis - SC",2493249797,, R$ 85 ,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pantanal-bairros-florianopolis-com-garagem-68m2-aluguel-RS1500-id-2493249797/?__vt=lgpd:b,68,2,1,Vivareal,"  Apartamento com 2 Quartos para Alugar, 68 m² por R$ 1.500/Mês  "
